pre_int,pre_uv,pre_percomp,time_spent,course_ID,final_grade,subject,enrollment_reason,semester,enrollment_status,cogproc,social,posemo,negemo,n,section,post_int,post_uv,post_percomp,WC
4.8,3.6666666666666665,4.5,408.4,FrScA-S216-01,14.4469526,FrScA,Course Unavailable at Local School,S216,Approved/Enrolled,12.84,3.67,0,0.92,1,01,NA,NA,NA,109
3.6,2.6666666666666665,3,1006.3337,BioA-S116-01,83.96021505,BioA,Scheduling Conflict,S116,Approved/Enrolled,23.683888888888887,5.7588888888888885,5.180555555555555,1.535,18,01,3,2.3333333333333335,3.5,51.44444444444444
4.8,4.333333333333333,4,3514.5498,AnPhA-S216-01,77.2789328,AnPhA,Course Unavailable at Local School,S216,Approved/Enrolled,11.1416,7.430400000000001,4.5988,0.9512,25,01,NA,NA,NA,71.2
4.4,3.3333333333333335,4,3946.5666,FrScA-T116-01,90.86757991,FrScA,Learning Preference of the Student,T116,Approved/Enrolled,13.655625,5.9153125,4.7228125,0.509375,32,01,NA,NA,NA,45.5
4.6,4.333333333333333,4.5,1746.5501,FrScA-S116-03,87.52968037,FrScA,Other,S116,Approved/Enrolled,15.22875,8.170833333333333,4.75625,1.34375,24,03,NA,NA,NA,96.75
3.8,3.3333333333333335,3.5,1014.5665,PhysA-S116-01,71.67083333,PhysA,Learning Preference of the Student,S116,Approved/Enrolled,16.021,3.408,3.5829999999999997,0,10,01,NA,NA,NA,48.6
4,4.333333333333333,3.5,6123.8832,AnPhA-S216-02,96.16,AnPhA,Other,S216,Approved/Enrolled,12.094,7.464,4.9004,1.57,25,02,NA,NA,NA,78.68
5,5,5,5037.3331,AnPhA-T116-01,95.3392,AnPhA,Other,T116,Approved/Enrolled,9.474117647058824,9.122941176470588,3.407058823529412,0.49529411764705883,17,01,NA,NA,NA,86.05882352941177
3.2,3,2.5,1276.5167,PhysA-S116-01,93.61805556,PhysA,Other,S116,Approved/Enrolled,17.229375,7.810625,4.3675,0,16,01,1.5,2.3333333333333335,1.5,82.3125
4.6,4.333333333333333,4.5,850.7329,PhysA-S116-01,95.41666667,PhysA,Learning Preference of the Student,S116,Approved/Enrolled,16.039375,8.09125,4.60875,0.986875,16,01,5,4.333333333333333,4.5,61.4375
3.6,4,2.5,100.3334,OcnA-S216-01,NA,OcnA,Course Unavailable at Local School,S216,Withdrawn,20.325,7.335,4.1625,0.15,4,01,NA,NA,NA,94.75
4,4,3.5,4945.2164,AnPhA-S216-01,92.2,AnPhA,Course Unavailable at Local School,S216,Approved/Enrolled,13.896666666666667,6.080555555555556,3.9755555555555553,1.0733333333333333,18,01,NA,NA,NA,94.05555555555556
4.8,5,4,2368.4997,AnPhA-S216-01,95.8608,AnPhA,Course Unavailable at Local School,S216,Approved/Enrolled,11.697391304347827,5.917826086956522,3.6669565217391304,1.198695652173913,23,01,NA,NA,NA,79.91304347826087
5,4.333333333333333,3.5,2634.6832,FrScA-S116-01,92.46575342,FrScA,Course Unavailable at Local School,S116,Approved/Enrolled,14.79595238095238,5.9035714285714285,5.965,0.6009523809523809,42,01,5,4,3.5,56.38095238095238
4.6,4,3.5,2804.9832,AnPhA-S116-02,81.272,AnPhA,Learning Preference of the Student,S116,Approved/Enrolled,10.70625,9.52125,4.414166666666667,0.5916666666666667,24,02,NA,NA,NA,60.291666666666664
3.4,3.3333333333333335,4,1270.0997,AnPhA-S216-01,40.2389328,AnPhA,Course Unavailable at Local School,S216,Approved/Enrolled,5.7837499999999995,6.03,4.15125,0.39375,8,01,NA,NA,NA,41.25
NA,3.6666666666666665,3.5,1533.0996,AnPhA-S116-01,73.1706672,AnPhA,Learning Preference of the Student,S116,Approved/Enrolled,10.239166666666666,5.497916666666667,2.6966666666666668,0.71125,24,01,NA,NA,NA,76.45833333333333
3.6,3,4.5,40.4334,FrScA-S216-02,NA,FrScA,Course Unavailable at Local School,S216,Dropped,12.363333333333333,4.863333333333333,11.173333333333334,0,3,02,NA,NA,NA,49
4.2,4,3.5,3020.7167,FrScA-S216-02,82.27990971,FrScA,Course Unavailable at Local School,S216,Approved/Enrolled,15.097878787878788,6.827575757575757,5.377878787878788,0.823030303030303,33,02,NA,NA,NA,56.333333333333336
4,3.3333333333333335,3,735.0999,BioA-S116-01,93.8172043,BioA,Scheduling Conflict,S116,Approved/Enrolled,17.343333333333334,6.9173333333333336,4.522666666666667,2.0286666666666666,15,01,NA,NA,NA,159
5,3.3333333333333335,4.5,763.1498,FrScA-S216-01,92.43792325,FrScA,Other,S216,Approved/Enrolled,14.516666666666667,6.013333333333334,3.5442424242424244,0.8993939393939394,33,01,NA,NA,NA,75.54545454545455
4.6,4,4,782.5002,FrScA-S116-01,88.35616438,FrScA,Course Unavailable at Local School,S116,Approved/Enrolled,12.76421052631579,5.466578947368421,6.407631578947369,0.7647368421052632,38,01,NA,NA,NA,32.55263157894737
4.6,2.6666666666666665,4,1907.6502,FrScA-S116-02,75.46118721,FrScA,Course Unavailable at Local School,S116,Approved/Enrolled,18.098378378378378,6.632702702702702,4.758648648648649,0.7745945945945946,37,02,NA,NA,NA,54.4054054054054
3.4,2.6666666666666665,3,2448.4838,FrScA-S116-03,90.59589041,FrScA,Course Unavailable at Local School,S116,Approved/Enrolled,14.1446875,8.4959375,5.6596874999999995,1.141875,32,03,2.75,1.3333333333333333,2.5,93.59375
4.4,4.333333333333333,4,3031.3165,FrScA-S216-02,93.00225734,FrScA,Course Unavailable at Local School,S216,Approved/Enrolled,12.295806451612902,6.90258064516129,6.044838709677419,0.6835483870967742,31,02,NA,NA,NA,90
3.8,4,3,1290.4502,OcnA-S216-02,63.98324958,OcnA,Other,S216,Approved/Enrolled,18.013333333333332,8.183333333333334,3.148888888888889,0.4633333333333333,9,02,NA,NA,NA,61.111111111111114
4.2,4.666666666666667,4.5,1769.8667,PhysA-S216-01,99.02777778,PhysA,Learning Preference of the Student,S216,Approved/Enrolled,16.695882352941176,6.2823529411764705,2.9488235294117646,0.43176470588235294,17,01,NA,NA,NA,104.6470588235294
4.6,4,4,2591.6168,AnPhA-S216-01,76.104,AnPhA,Learning Preference of the Student,S216,Approved/Enrolled,9.048571428571428,9.872380952380952,5.342380952380952,0.6576190476190477,21,01,NA,NA,NA,90.42857142857143
4.6,3.6666666666666665,3.5,26.9168,OcnA-S216-02,57.24958124,OcnA,Course Unavailable at Local School,S216,Approved/Enrolled,13.56,4.1875,4.39375,0.76,8,02,NA,NA,NA,61
4,2,3,1559.9667,FrScA-S116-03,92.92237443,FrScA,Learning Preference of the Student,S116,Approved/Enrolled,16.39775,6.148,4.33675,0.6985,40,03,2.75,1.3333333333333333,5,56.075
4,4,3,3781.6498,AnPhA-S116-02,91.8208,AnPhA,Course Unavailable at Local School,S116,Approved/Enrolled,10.222777777777777,8.479444444444445,3.3144444444444443,0.5338888888888889,18,02,NA,NA,NA,104.61111111111111
3.8,4,3.5,1062.8665,PhysA-S116-01,95.48611111,PhysA,Other,S116,Approved/Enrolled,15.454166666666666,7.1825,4.758333333333333,0.24083333333333334,12,01,NA,NA,NA,74
3,4,3.5,1546.4166,PhysA-S116-01,90.97222222,PhysA,Other,S116,Approved/Enrolled,16.262307692307694,4.823076923076923,6.151538461538461,0.7415384615384615,13,01,1.5,1.6666666666666667,1.5,50.92307692307692
5,4.666666666666667,4.5,2040.7333,AnPhA-T116-01,72.992,AnPhA,Course Unavailable at Local School,T116,Approved/Enrolled,11.579333333333333,10.631333333333334,4.4013333333333335,0.6606666666666666,15,01,NA,NA,NA,47
4,4,3.5,1856.6669,OcnA-T116-01,94.46566164,OcnA,Learning Preference of the Student,T116,Approved/Enrolled,NA,NA,NA,NA,NA,01,NA,NA,NA,NA
1.8,1,3,NA,AnPhA-S116-01,NA,AnPhA,NA,S116,NA,NA,NA,NA,NA,NA,01,1,1,3,NA
5,5,5,4538.4835,OcnA-S216-01,90.94639866,OcnA,Learning Preference of the Student,S216,Approved/Enrolled,16.50470588235294,5.804117647058823,3.9382352941176473,2.108235294117647,17,01,NA,NA,NA,129.94117647058823
4.4,4,3.5,1289.1006,PhysA-T116-01,97.63888889,PhysA,Scheduling Conflict,T116,Approved/Enrolled,17.138947368421054,6.216842105263158,8.072631578947368,0.29368421052631577,19,01,NA,NA,NA,49.89473684210526
5,5,4,2362.1,AnPhA-T116-01,86.1648,AnPhA,Course Unavailable at Local School,T116,Approved/Enrolled,9.5775,9.840625,5.289375,0.690625,16,01,NA,NA,NA,84.25
4,4,3,4614.4,AnPhA-T116-01,83.5525328,AnPhA,Course Unavailable at Local School,T116,Approved/Enrolled,9.35625,9.110625,4.31625,0.936875,16,01,NA,NA,NA,63.4375
3.8,4,3,48.0332,OcnA-T116-01,22.680067,OcnA,Scheduling Conflict,T116,Approved/Enrolled,NA,NA,NA,NA,NA,01,NA,NA,NA,NA
5,4.333333333333333,4.5,3095.2494,OcnA-T116-01,90.80569514,OcnA,Course Unavailable at Local School,T116,Approved/Enrolled,NA,NA,NA,NA,NA,01,NA,NA,NA,NA
4.6,3.6666666666666665,4,3073.6162,OcnA-T116-01,82.0318258,OcnA,Course Unavailable at Local School,T116,Approved/Enrolled,NA,NA,NA,NA,NA,01,NA,NA,NA,NA
5,4,4,4199.4169,AnPhA-T116-01,82.552,AnPhA,Course Unavailable at Local School,T116,Approved/Enrolled,9.968235294117648,4.31,5.290588235294118,0.6964705882352942,17,01,NA,NA,NA,60.294117647058826
2.8,3.3333333333333335,4,919.5,BioA-T116-01,73.81827957,BioA,Course Unavailable at Local School,T116,Approved/Enrolled,17.878,8.495,5.784,1.2349999999999999,10,01,NA,NA,NA,48.3
5,4.666666666666667,4.5,2573.4502,OcnA-S216-01,88.30318258,OcnA,Course Unavailable at Local School,S216,Approved/Enrolled,14.641052631578948,7.2642105263157895,6.428947368421053,0.7573684210526316,19,01,NA,NA,NA,47.578947368421055
4,4.333333333333333,4,1341.7002,FrScA-S216-01,81.71557562,FrScA,Course Unavailable at Local School,S216,Approved/Enrolled,16.192564102564102,6.90974358974359,4.633589743589743,0.6102564102564103,39,01,NA,NA,NA,95.61538461538461
4.2,4,3.5,2269.8829,AnPhA-S216-01,94.8261328,AnPhA,Course Unavailable at Local School,S216,Approved/Enrolled,10.670416666666666,7.349166666666666,4.418333333333333,0.76625,24,01,NA,NA,NA,121.79166666666667
4,4,4.5,1209.8496,AnPhA-S116-01,86.8912,AnPhA,Course Unavailable at Local School,S116,Approved/Enrolled,5.4992857142857146,6.012142857142857,4.086428571428572,1.3714285714285714,14,01,NA,NA,NA,54.214285714285715
4,3.6666666666666665,3,2285.7836,FrScA-S216-01,89.05191874,FrScA,Course Unavailable at Local School,S216,Approved/Enrolled,16.033076923076923,5.406666666666666,6.437948717948718,0.5087179487179487,39,01,NA,NA,NA,46.743589743589745
4.6,3.6666666666666665,4,156.5829,FrScA-S216-01,93.67945824,FrScA,Course Unavailable at Local School,S216,Approved/Enrolled,14.359,5.79475,4.662,0.95575,40,01,NA,NA,NA,68.225
2.4,3,3,264.2002,BioA-S116-01,93.34946237,BioA,Scheduling Conflict,S116,Approved/Enrolled,18.607241379310345,6.5024137931034485,4.006206896551724,0.8458620689655173,29,01,3,3.6666666666666665,2.5,80.93103448275862
5,4.333333333333333,4,1449.7001,FrScA-S116-01,15.06849315,FrScA,Course Unavailable at Local School,S116,Approved/Enrolled,12.979444444444445,5.958888888888889,6.239444444444445,0.29333333333333333,18,01,NA,NA,NA,80.94444444444444
4.4,3,4,608.2501,FrScA-S216-03,76.29464286,FrScA,Course Unavailable at Local School,S216,Approved/Enrolled,16.624594594594594,7.682162162162162,7.25972972972973,1.2378378378378379,37,03,NA,NA,NA,61.08108108108108
3.6,4.333333333333333,3.5,0.7,PhysA-S116-01,3.055555556,PhysA,Learning Preference of the Student,S116,Approved/Enrolled,19.455,5,2.395,1.22,2,01,NA,NA,NA,97
5,5,5,6771.9673,OcnA-S116-02,93.9279732,OcnA,Course Unavailable at Local School,S116,Approved/Enrolled,14.032,2.4779999999999998,4.054,1.6175,20,02,NA,NA,NA,62.1
4.4,4,3.5,473.0333,AnPhA-S116-01,90.9157328,AnPhA,Scheduling Conflict,S116,Approved/Enrolled,11.23,6.2696,4.2368,1.0231999999999999,25,01,NA,NA,NA,59.28
